#################################
#	File:   localisation_fylkir_powers.csv
#	Author: Chris Saiko
#	Desc:   Fylkir Powers Localisation File
#         Windows 1252 encoding
#################################


#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#CODE;ENGLISH;;;;;;;;;;;;;x

#REQUESTS
fp_ask_for_money;Request Money;;;;;;;;;;;;;x
fp_ask_for_money_desc;Request gold from §Y[Root.GetTitledName]§!.;;;;;;;;;;;;;x

#BOONS
fp_cure_disease;Cure Disease;;;;;;;;;;;;;x
fp_cure_disease_desc;Cure any illness or symptom from §Y[Root.GetTitledName]§!.;;;;;;;;;;;;;x
fp_calm_mind;Calm Mind;;;;;;;;;;;;;x
fp_calm_mind_desc;Remove an affliction of the mind from §Y[Root.GetTitledName]§!.;;;;;;;;;;;;;x
fp_heal_body;Heal Body;;;;;;;;;;;;;x
fp_heal_body_desc;Heal a wound or disfigurement from from §Y[Root.GetTitledName]§!.;;;;;;;;;;;;;x
fp_heal_defect;Heal Defect;;;;;;;;;;;;;x
fp_heal_defect_desc;Remove a defect or aberration trait from §Y[Root.GetTitledName]§!.;;;;;;;;;;;;;x
fp_extend_life;Extend Life;;;;;;;;;;;;;x
fp_extend_life_desc;Extend the life of §Y[Root.GetTitledName]§! by two years.;;;;;;;;;;;;;x
fp_pass_trait;Pass Trait;;;;;;;;;;;;;x
fp_pass_trait_desc;Pass a trait to §Y[Root.GetTitledName]§!.;;;;;;;;;;;;;x

#CURSES
fp_inflict_gloom;Inflict Gloom;;;;;;;;;;;;;x
fp_inflict_gloom_desc;Inflict gloom upon §Y[Root.GetTitledName]§!.;;;;;;;;;;;;;x
fp_inflict_madness;Inflict Madness;;;;;;;;;;;;;x
fp_inflict_madness_desc;Inflict madness upon §Y[Root.GetTitledName]§!.;;;;;;;;;;;;;x
fp_inflict_illness;Inflict Illness;;;;;;;;;;;;;x
fp_inflict_illness_desc;Inflict a minor disease upon §Y[Root.GetTitledName]§!.;;;;;;;;;;;;;x
fp_inflict_malady;Inflict Malady;;;;;;;;;;;;;x
fp_inflict_malady_desc;Inflict a major disease upon §Y[Root.GetTitledName]§!.;;;;;;;;;;;;;x
fp_inflict_aberration;Inflict Aberration;;;;;;;;;;;;;x
fp_inflict_aberration_desc;Inflict an aberration or deformity upon §Y[Root.GetTitledName]§!.;;;;;;;;;;;;;x

#INTRIGUE EVENTS
fp_restore_doctrines;Restore Religious Doctrines;;;;;;;;;;;;;x
fp_restore_doctrines_desc;Restore the various doctrines of the Germanic faith, according to the chosen laws of the realm.;;;;;;;;;;;;;x
fp_restore_doctrines_tooltip;Doctrine is restored according to set laws.;;;;;;;;;;;;;x
fp_change_doctrine;Changed Religious Doctrine;;;;;;;;;;;;;x
fp_change_doctrine_desc;A religious doctrine of the faith has been changed, giving a minor decrease to moral authority.;;;;;;;;;;;;;x
fp_codify_sagas;Codify the Sagas;;;;;;;;;;;;;x
fp_codify_sagas_desc;The Fylkir gathers vassal priests to create a grand book, which contains all scripture and knowledge within the Germanic religion.;;;;;;;;;;;;;x
fp_vassal_vg;Vassalize the Varangian Guard;;;;;;;;;;;;;x
fp_vassal_vg_desc;Under certain conditions, the Fylkir may vassalize the Varangian Guard.;;;;;;;;;;;;;x
fp_found_jarnhendur;Found the Jarnhendur;;;;;;;;;;;;;x
fp_found_jarnhendur_desc;Found the Jarnhendur, the Fylkir's personal bodyguard and army.;;;;;;;;;;;;;x
#fp_found_jarnhendur_tooltip;The Jarnhendur are founded.;;;;;;;;;;;;;x

#LAWS
fp_excomm_law;Divorce and Excommunication;;;;;;;;;;;;;x
fp_excomm_law_desc;Controls whether the Fylkir has the power to grant divorces between members of the Germanic faith or excommunicate members from the faith.;;;;;;;;;;;;;x
fp_excomm_law_0;Grant Divorce and Excommunication Disallowed;;;;;;;;;;;;;x
fp_excomm_law_0_option;None;;;;;;;;;;;;;x
fp_excomm_law_0_desc;The Fylkir may neither grant divorces, nor excommunicate members of the Germanic faith.;;;;;;;;;;;;;x
fp_excomm_law_1;Divorce Allowed;;;;;;;;;;;;;x
fp_excomm_law_1_option;Divorce;;;;;;;;;;;;;x
fp_excomm_law_1_desc;The Fylkir may now grant divorces to members the Germanic faith.;;;;;;;;;;;;;x
fp_excomm_law_2;Grant Excommunication Allowed;;;;;;;;;;;;;x
fp_excomm_law_2_option;Excommun;;;;;;;;;;;;;x
fp_excomm_law_2_desc;The Fylkir may now excommunicate members from the Germanic faith.;;;;;;;;;;;;;x

fp_claims_law;Money and Claims;;;;;;;;;;;;;x
fp_claims_law_desc;Controls whether the Fylkir has the power to grant claims and money to members of the Germanic faith.;;;;;;;;;;;;;x
fp_claims_law_0;Grant Claims Disallowed and Money Requests Disallowed;;;;;;;;;;;;;x
fp_claims_law_0_option;None;;;;;;;;;;;;;x
fp_claims_law_0_desc;The Fylkir may not grant claims on titles to members of the Germanic faith, nor may they request money of the Fylkir.;;;;;;;;;;;;;x
fp_claims_law_1;Money Requests Allowed;;;;;;;;;;;;;x
fp_claims_law_1_option;Money;;;;;;;;;;;;;x
fp_claims_law_1_desc;Members of the Germanic faith may request money from the Fylkir.;;;;;;;;;;;;;x
